pyriform cortex	specialization	allocortex
Regression analysis	specialization	statistical
polychromatic	specialization	paint
tort	specialization	personal injury
health care	specialization	preventive care
Lorazepam	specialization	benzodiazepine
organosilicon chemistry	specialization	hyperconjugation
locomotive	specialization	articulated locomotive
locomotive	specialization	diesel-electric locomotive
dam	specialization	hydro
community	specialization	intentional community
Trotskyism	specialization	communism
transformer	specialization	transformer
Tjasker	specialization	windmill
Fluttermühle	specialization	windmill
typeface	specialization	serif
contract bridge	specialization	endplay
shading	specialization	non-photorealistic rendering
party	specialization	party
inductive type	specialization	natural numbers
Bookstore tourism	specialization	cultural tourism
bullying	specialization	aggression
Cur	specialization	working dog
implosive	specialization	consonant
organic chemistry	specialization	substitution reaction
organic chemistry	specialization	chemical compound
surface weather analysis	specialization	weather map
heavy oil engine	specialization	internal combustion engine
survival rate	specialization	survival rate
boxer engine	specialization	flat engine
Pennsylvania Railroad	specialization	steam locomotive
cross pattée	specialization	cross
equatorial climate	specialization	tropical climate
Congenital melanocytic nevus	specialization	melanocytic nevus
Laddermills	specialization	airborne wind turbine
ōbake	specialization	yōkai
footstool	specialization	stool
tropical rainforest climate	specialization	tropical climate
Eurovision Song Contest	time	1956
Coaches Poll	time	1950–51 season
Monday Night Wars	time	1995
WNBA	time	1997
bubonic plague	time	Bombay Presidency
original sin	time	Duns Scotus
Everglades	time	Second Seminole War
Metrication	time	the State
Shell Shield	time	1965–66
firearms	time	Ming dynasty
Serie A	time	1929
literature	time	Civil War
World Championships	time	1904
Governor	time	Edward Stafford
Northeast Kansas	time	World War II
expressed sequence tag	time	Craig Venter
Expulsion of the Acadians	time	French and Indian War
Naval Air Station Cubi Point	time	Korean War
Soviet armed forces	time	Russian Civil War
tank	time	World War I
wildfires	time	Los Angeles
Japanese Archipelago	time	Goryeo Dynasty
São José	time	2012 NBB Finals
National Football League	time	1920
military experience	time	French and Indian War
Oxford Movement	time	Church of England
Second Constitutional Era	time	Young Turk Revolution
mobile post office	time	Negev
rebellion	time	Coup d'état of June 1933


